 $/ sq ft ,Sale Price,List Price,>90 Day Before Sale Zestimate,$ / sq ft for keywords,Close Date,Street Number,Street Name,Street Suffix,City,County,Zip5,,Beds Total,Baths.Lavs,Est Fin Abv Grd SqFt,Acreage,Architecture Level,Architecture Style, $/ sq ft ,Basement Type,,Sale Price,Exterior,Cooling,Exterior Features,Garage Dimensions,Garage Features,Garage Size,Heating,Original List Price,Photo Count,Pool YN,PUBLIC REMARKS,Avg,Count,Without,SqFt-Est Tot Fin,SqFt-Est Fin Lower Floor,SqFt-Est Fin Abv Grd,SqFt-Est Tot Bsmt,Year Built,Year Remodeled,Porch Type
 $ 116 ,154000,157500,"$211,000",$135,04/10/2018,2312,BROCKTON,Avenue,Royal Oak,Oakland,48067,,3,1,1331,0.1,2 Story,Colonial, $ 116 ,,,154000,Aluminum,"Ceiling Fan, Central Air","Fenced, Outside Lighting",14x20,"Detached, Electricity",1 Car,Forced Air,160000,20,FALSE,"ALSO BEING OFFERED FOR LEASE AT $1,300 PER MONTH.  NICELY UPDATED OVER THE YEARS WITH KITCHEN CABINETS, SOME WINDOWS, NEW KITCHEN & LAUNDRY ROOM FLOORING, NEWER PLUMBING, ELECTRICAL DISHWASHER & WATER HEATER. APPLIANCES INCLUDED. CONVENIENT DEN/COMPUTER ROOM ON FIRST FLOOR. SEPARATE & SPACIOUS LAUNDRY/UTILITY ROOM. NICELY LANDSCAPED, BRICK PAVER FRONT SERVICE WALK & PORCH. BACK YARD HAS WOOD DECK AND IS PRIVACY FENCED.  1 & 1/2 CAR GARAGE. OAKLAND ELEMENTARY SCHOOL PLAYGROUND ACROSS STREET.",$209,154,$196,"1,563",,"1,563",,1954,,
 $ 118 ,155000,159900,"$160,000",$221,07/18/2018,2410,LINCOLN,Avenue,Royal Oak,Oakland,48067,,3,1.1,1318,0.09,Tri-Level,Raised Ranch, $ 118 ,,,155000,"Aluminum, Brick","Ceiling Fan, Central Air",Fenced,,,No Garage,Forced Air,159900,33,FALSE,"ROYAL OAK BRICK AND ALUMINUM TRI-LEVEL HOME WITH 3 BEDROOMS AND OVER 1,300 SQ FEET. IT HAS A GREAT OPEN CONCEPT FLOOR PLAN WITH LOTS OF WINDOWS THAT ALLOW THE NATURAL LIGHT THROUGHOUT. ENJOY THE NICE KITCHEN WITH PLENTY OF EATING SPACE AREA AND STOVE AND REFRIGERATOR STAY. 1.5 BATHS, LARGE FAMILY ROOM AND LAUNDRY ROOM.  THE PRIVATE BACK YARD IS PERFECT FOR BBQ'S, ENTERTAINING AND FAMILY FUN. YOU ARE CLOSE TO EVERYTHING AND WALKING DISTANCE TO DOWNTOWN ROYAL OAK.  IMMEDIATE OCCUPANCY.",$210,154,#N/A,"1,411",,"1,411",,1960,,Patio
 $ 118 ,181000,190000,"$307,000",$192,11/05/2018,122,BLAIR,Avenue,Royal Oak,Oakland,48067,,4,1.1,1538,0.13,2 Story,Bungalow, $ 118 ,Unfinished,,181000,Aluminum,,,,Detached,1 Car,Forced Air,200000,8,FALSE,"INCREDIBLE INVESTMENT & OWNERSHIP OPPORTUNITY IN A PRIME LOCATION. SITUATED ON CORNER LOT ACROSS FROM PARK. BRING YOUR BUILDING PLANS AND CREATIVE TOUCHES, FOR THIS IDEAL BUILD SITE. LOCATED LESS THAN 1 MILE FROM DOWNTOWN ROYAL OAK.  WALK OR RIDE YOUR BIKE TO ALL OF THE RESTAURANTS, SHOPPING AND PARKS NEARBY. HOME BEING SOLD AS-IS.",$221,154,$196,"1,149",,"1,149",800,1940,,Porch
 $ 121 ,205000,190000,"$334,000",$199,06/25/2018,2302,FERNCLIFF,Avenue,Royal Oak,Oakland,48073,,4,2,1695,0.15,2 Story,Bungalow, $ 121 ,Unfinished,,205000,"Brick, Vinyl",Central Air,Fenced,,Detached,2 Car,Forced Air,190000,1,FALSE,"INVESTORS DREAM. HIGHEST BEST DUE JUNE 1ST, 4 PM",$210,154,$196,978,,978,759,1942,,"Porch, Porch - Covered"
 $ 122 ,198000,214900,"$196,000",$231,07/20/2018,2307,GUTHRIE,Avenue,Royal Oak,Oakland,48067,,5,2,1619,0.09,2 Story,Colonial, $ 122 ,,,198000,Vinyl,Central Air,Fenced,,Detached,1 Car,Forced Air,224900,20,FALSE,"UNIQUE ROYAL OAK HOME WITH ENDLESS POSSIBILITIES  LOCATED CLOSE TO DOWNTOWN AND MAJOR HIGHWAYS AND SHOPPING AREAS.  THIS HOME SITS ON A WELL MAINTAINED LOT WITH 1.5 CAR GARAGE AND LARGE BACKYARD PATIO SPACE.  INSIDE, FIND NEW FLOORING & PAINT THROUGHOUT THE ENTIRE HOME.  ENTER INTO THE LIVING SPACE THAT OPENS UP TO THE KITCHEN FEATURING PLENTY OF CABINET SPACE, BREAKFAST NOOK & OUTDOOR ACCESS.  DOWN THE HALL FIND TWO AMPLY SIZED BEDROOMS AND A FULL BATH.  UPSTAIRS, A SECOND LIVING & KITCHEN SPACE GREETS YOU WITH THREE MORE BEDROOMS AND SECOND FULL BATH.  AS IS, THIS HOME IS PERFECT FOR A MOTHER IN LAW SUITE OR INCOME PROPERTY.  DO NOT MISS OUT ON THIS GREAT OPPORTUNITY IN AN EXCELLENT LOCATION!",$210,154,$196,"1,589",400,"1,189","1,189",1959,,Porch - Covered
 $ 123 ,282000,299000,"$330,000",$213,09/12/2018,312,LEXINGTON,Boulevard,Royal Oak,Oakland,48073,,3,2,2298,0.58,1 Story,Ranch, $ 123 ,,,282000,Vinyl,Central Air,,,Attached,2 Car,Forced Air,299000,20,FALSE,"ONE OF THE MOST SOUGHT AFTER LARGER PROPERTIES IN RO ON LEXINGTON BLVD IS READY TO SELL. THIS 3BEDRM, 2BATH RANCH HOME HAS MUCH TO OFFER WITH ITS BEAUTIFULLY FINISHED HARDWOOD FLOORS THROUGH OUT THE LIVING ROOM, DINING ROOM AND TWO OF THE LARGER BEDROOMS. THE GREAT ROOM IS WIDE OPEN AND HAS A FABULOUS FIREPLACE & MANTLE. THE DINING ROOM HAS TWO BUILT IN CORNER CABINETS AND OPENS TO A VERY SPACIOUS FORMAL LIVING WITH A BUMP OUT AREA THAT COULD BE USED AS A NOOK OR EVEN A LARGER DINING SPACE. THERE HAS BEEN MANY UPDATES TO THE HOME.",$210,154,$196,769,,769,636,1920,,"Deck, Porch"
 $ 124 ,240000,265000,"$350,000",$200,02/15/2019,2332,Ardmore,Avenue,Royal Oak,Oakland,48073,,3,2,1943,0.2,1 1/2 Story,Bungalow, $ 124 ,Unfinished,,240000,Vinyl,Ceiling Fans 2+,"Fenced, Outside Lighting",,,No Garage,"Baseboard, Hot Water",345000,28,FALSE,"THIS 3 BEDROOM, 2 BATHROOM HOME IN THE HEART OF ROYAL OAK IS A PERFECT BLEND OF STYLE AND COMFORT. HEAD INSIDE AND YOU'RE GREETED WITH A LIVING ROOM BOASTING NEWLY PAINTED WALLS AND PRISTINE WOOD FLOORING. MOVE TO THE KITCHEN, WHERE BEAUTIFULLY MAINTAINED APPLIANCES, AN ABUNDANCE OF CABINETS AND BOUNTIFUL PREP SPACE WILL MAKE ANY CHEF EAGER TO DIVE IN.  YOU'LL FIND EACH OF THE BEDROOMS AND BATHROOMS INFUSED WITH NATURAL LIGHT, FEATURING INVITING WALLS AND PREMIUM FLOORING THROUGHOUT. YOUR LIVING SPACE EXTENDS TO THE YARD, HAVE YOUR PETS RUN AROUND THROUGHOUT THE BROAD FENCED YARD. A PERFECT BLEND OF LOCATION, EFFICIENCY AND CHARM, THIS BEAUTIFUL HOME WONT BE ON THE MARKET LONG.",$210,154,$196,"1,253",221,"1,032","1,032",1954,,Patio
 $ 126 ,282000,299000,"$360,000",$200,10/19/2018,3102,CLAWSON,Avenue,Royal Oak,Oakland,48073,,4,2,2242,0.17,2 Story,Colonial, $ 126 ,"Finished, Interior Access Only",,282000,Brick Siding,"Attic Fan, Ceiling Fans 2+",Outside Lighting,22X24,"2+ Assigned Space(s), Detached, Door Opener",2 Car,Forced Air,375000,36,FALSE,"LOCATION, LOCATION, LOCATION!  BEAUTIFULLY REMODELED COLONIAL IN HIGHLY DESIREABLE ROYAL OAK!  STUNNING NEW FLOORING(T/O) GREETS YOU AS YOU ENTER THROUGH THE FRONT DOOR.  PROFESSIONALLY DONE KITCHEN WITH SS APPLIANCES AND CUSTOM CABINETRY WITH TONS OF STORAGE ARE JUST A FEW OF THE AMENITIES THIS HOUSE HAS TO OFFER.  NEW WINDOWS, NEW HOT WATER HEATER AND NEWER ROOF ALL INCLUDED.  THE MASSIVE BEDROOM UPSTAIRS IS GREAT FOR KIDS!  A HUGE, FINISHED BASEMENT WITH LAUNDRY OFFERS A PLACE TO PLAY FOR THE FAMILY OR CREATE YOUR OWN MAN/WOMAN CAVE.  BACK DOOR ACCESS LEADS TO A NICE DECK, GREAT FOR RELAXING ON SUNNY DAYS AND A 2 CAR DETACHED GARAGE.  ALL APPLIANCES INCLUDED.  WALKING DISTANCE TO ADDAMS ELEMENTARY SCHOOL.  THIS HOME  WON'T LAST LONG AT THIS PRICE!  BATVAI.  ALL SHOWINGS MUST BE ACCOMPANIED BY A LICENSED, MICHIGAN REAL ESTATE AGENT, NO EXCEPTIONS.NO VIRTUAL TOURS.SOLD AS/IS.TEEN SUITE CAN BE A MASTER SUITE.",$210,154,$196,"1,164",,"1,164",,1956,,"Deck, Porch"
 $ 128 ,200000,179900,"$285,000",$206,12/28/2018,627,DETROIT,Avenue,Royal Oak,Oakland,48073,,3,2,1563,0.14,1 Story,Ranch, $ 128 ,,,200000,Vinyl,Central Air,,24x24,"Detached, Door Opener, Electricity",2 Car,Forced Air,218000,19,FALSE,"HIGHEST AND BEST DUE BY DECEMBER 7TH @ 7PM.  WELCOME HOME TO THIS CHARMING THREE BEDROOM, TWO FULL BATH RANCH!  HOUSE IS NESTLED ON A DEAD-END STREET IN ROYAL OAK'S PREMIERE AREA OF THE RED RUN GOLF SUBDIVISION.  YOU'LL FIND A NICE OPEN-CONCEPT GIVEN THE ADDITION OFF THE BACK OF THE HOME, WHICH PROVIDES ADDITIONAL LIVING SPACE ALONG WITH A LARGE FAMILY ROOM.  BEAUTIFUL HARDWOOD FLOORS, FULL BATH UPFRONT HAS NEWER TUB LINER AND LARGE MAPLE CABINETRY.  THE KITCHEN HAS SHAKER STYLE MAPLE CABINETRY WITH FORMICA TOPS AND WHITE APPLIANCES, ALL OF WHICH STAY.  MASTER BEDROOM FEATURES NEWER FULL BATH AND TWO WALK-IN CLOSETS.  LANDSCAPING AROUND THE HOME HAS RECENTLY BEEN FRESHENED UP WITH NEW MULCH BEDS, ALONG WITH FRESH PAINT ON THE INSIDE.  THE OVERSIZED 2-CAR GARAGE OFFERS PLENTY OF STORAGE SPACE AMONGST YOUR PRIVATE BACKYARD.  SCHEDULE YOUR SHOWING TODAY!",$210,154,$196,860,,860,680,1949,,
 $ 128 ,240000,247000,"$330,000",$205,01/18/2019,4028,HILLSIDE DRIVE,,Royal Oak,Oakland,48073,,4,2.1,1875,0.21,1 1/2 Story,Bungalow, $ 128 ,Unfinished,,240000,"Aluminum, Brick",Central Air,"Fenced, Outside Lighting",,"Attached, Door Opener, Electricity",2 Car,Forced Air,265000,19,FALSE,"EXCELLENT OPPORTUNITY TO REHAB/ UPDATE THIS LARGE NORTH ROYAL OAK 4 BEDROOMS, 2.1 BATHROOM HOME.  SELLER IS SERIOUS ABOUT SELLING AND WILL LOOK AT ALL REASONABLE OFFERS. EXCELLENT LOCATION IN THE BEVERLY HILLS SUB OF ROYAL OAK. THIS  HOME IS VERY EASY TO SHOW.  BRING YOUR BUILDER/ CONTRACTOR AND DESIGNER WITH YOU AND THEY WILL HELP YOU SEE HOW TO UNLOCK ALL THE EQUITY IN THIS HOME.  THIS IS A GREAT OPPORTUNITY TO UPDATE A HOME IN A WONDERFUL AREA. RECOMMENDATIONS ON RESIDENTIAL PROPERTY MANAGEMENT COMPANIES THAT CAN HELP YOU BE YOUR OWN BOSS OF THIS REMODEL ARE AVAILABLE.  WE ARE LOOKING TO MOVE THIS HOME NOW!  THIS HOME FEATURES A LARGE KITCHEN,  FOUR BEDROOMS, WITH A FIRST FLOOR MASTER, ATTACHED  GARAGE AND AN OPEN FLOOR PLAN.  CLOSE TO BEAUMONT ITS A PERFECT HOME FOR ANY ONE LOOKING FOR A FIRST FLOOR MASTER SUITE",$210,154,$196,807,,807,667,1912,,Porch - Covered
 $ 128 ,206000,209000,"$244,000",$201,08/16/2018,2424,Dallas,,Royal Oak,Oakland,48067,,4,2,1607,0.13,2 Story,Colonial, $ 128 ,,,206000,Aluminum,"Ceiling Fans 2+, Window Units 2+","Fenced, Outside Lighting",21x15,"Detached, Electricity, Workshop",1 Car,"Baseboard, Hot Water",274900,25,FALSE,"DO NOT MISS THIS BEAUTIFUL STATELY COLONIAL, CENTRALLY LOCATED AND JUST MINUTES FROM EVERYTHING, OFFERING BUYERS A DRAMATIC FRONT PORCH ACCENTED WITH SOARING PILLARS THAT WALKS INTO A LARGE GREAT ROOM WITH A BAY WINDOW, HARDWOOD FLOORING AND TALL CEILINGS ACCENTUATED WITH CROWN MOLDING ALONG WITH A SEPARATE FAMILY ROOM/DEN FOR ENTERTAINING WITH A WET BAR AND DOORWALL LEADING TO A LARGE DECK OVERLOOKING THE PRIVACY FENCED YARD PLUS A WONDERFUL KITCHEN WITH APPLIANCES INCLUDED, RAISED PANEL CABINETRY, AND A BREAKFAST BAR OVERLOOKING THE DINING AREA WITH BUILT IN BUFFET, WINE RACK AND PANTRY AREAS.  ALL OF THIS PLUS 4 SPACIOUS BEDROOMS WITH LARGE CLOSETS AND BUILT-IN ORGANIZERS, 2 FULL BATHS, LAUNDRY CENTER WITH ROW OF OVERHEAD CABINETRY FOR STORAGE AND UTILITY SINK, AND A WONDERFUL OVERSIZED 1 CAR GARAGE WITH STAIRS LEADING TO A HUGE LOFT/STORAGE ROOM AREA AND MORE!  THIS IS THE COMPLETE PACKAGE. CALL BEFORE IT IS TOO LATE.",$210,154,$196,"1,080",,"1,080",540,1952,,Patio
 $ 128 ,160000,163995,"$185,000",$164,04/17/2018,2444,Brockton,Avenue,Royal Oak,Oakland,48067,,3,1,1247,0.11,2 Story,Bungalow, $ 128 ,,,160000,"Aluminum, Brick","Ceiling Fans 2+, Wall Units 2+","Fenced, Outside Lighting",,"Detached, Electricity",1 Car,Baseboard,163995,1,FALSE,THIS IS ALL ABOUT LOCATION. MINUTES FROM I-696 AND DOWNTOWN ROYAL OAK. SHORT DISTANCES TO YOUR FAVORITE RESTAURANTS AND SHOPPING. AS YOU ENTER THIS CHARMING 3 BEDROOM BUNGALOW YOU ARE GREETED WITH A LARGE SUNFILLED SPACIOUS LIVING ROOM. UPSTAIRS WELCOMES YOU WITH A LARGE MASTER BEDROOM. TWO BEDROOMS ARE ON THE MAIN FLOOR ALONG WITH A MASTER BATHROOM. BRIGHT KITCHEN WITH EATING AREA/ UTILITY ROOM. ENTERTAIN YOUR FRIENDS AND FAMILY WITH A FENCED IN YARD THAT IS PROFESSIONALLY LANDSCAPED. ONE CAR DETACHED GARAGE WITH BONUS STORAGE AREA. HURRY THIS ONE WON'T LAST! BATVAI,$210,154,$196,948,,948,500,1953,,Porch
 $ 130 ,215000,224000,"$260,000",$182,10/26/2018,4627,MANKATO Ave,,Royal Oak,Oakland,48073,,3,2,1659,0.19,2 Story,Colonial, $ 130 ,Unfinished,,215000,Vinyl,Central Air,"Fenced, Outside Lighting",,,No Garage,Forced Air,240000,25,FALSE,"FULLY REMODELED 2018 THREE BEDROOM, TWO FULL BATH HOME FROM THE STUDS UP. THIS HOME HAS A BEAUTIFUL STATE OF THE ART KITCHEN WITH STAINLESS APPLIANCES, BEAUTIFUL LEATHER FINISHED QUARTZ COUNTER TOPS W/ LARGE ISLAND. NICE CASUAL DINING AREA OFF FRENCH DOORS TO NEW DECK. LIVING ROOM FLOWS TO DINING ROOM. FIRST FLOOR BEDROOM AND BEAUTIFULLY REMODELED BATHROOM COMPLETES THE ENTRY LEVEL LIVING SPACE. 2 BEDROOMS AND FULL REMODELED BATHROOM ON 2ND FLOOR PLUS ADDITIONAL SPACE THAT CAN BE USED AS A LIBRARY/STUDY, NURSERY, WALK-IN-CLOSET OR YOUR DOGGIES CAN HAVE THEIR OWN ROOM - ENDLESS POSSIBILITIES TO USE AS YOU WISH! LARGE FENCED BACKYARD WITH 2 SHEDS. AWESOME COVERED FRONT PORCH W/ NEW FRONT AND BACK STEPS. UPDATED ELECTRICAL ALL TO CODE (PERMITS PULLED!). THREE WINDOWS TO BE REPAIRED SOON. NEW FLOORS, FRESH PAINT, SUPER NICE HOUSE HAS ALL THE CHARM OF AN OLDER HOME W/ ALL THE CONVENIENCES OF A BRAND NEW ONE! NICELY LOCATED ON TOP OF IT ALL. NOTE HVAC VENTS ARE BEHIND THE BEDROOM DOORS.",$210,154,$196,"2,327","1,059","1,268","1,268",1948,,"Patio, Porch"
